Ct,Day,Topic,Spec,Ident,Day 1 Study Guide Question,(A),(B),(C),(D),Ans,Form,Answer
106,1,Topic,Accum,DS1.106,"For a BOP Remote panel which functions using push-buttons, what is the main function of the ""master"" or ""push to operate"" button?",To enable the functions on the driller’s remote panel to become active,To adjust the pipe rams operating pressure,To adjust the annular prevent operating pressure,To close the diverter element ,A,,
107,1,Topic,Accum,DS1.107,"According to API Standard 53, what is the minimum recommended precharge pressure for 3,000 psi accumulator bottles housed within a 3,000 psi BOP Closing Unit?",1000 psi,1200 psi,3000 psi,5000 psi,A,,
108,1,Topic,Accum,DS1.108,Why are fluids stored under pressure within the accumulator bottles of a BOP Closing Unit?,To reduce the actual closing time of the remote choke,To reduce the actual closing time of the BOP functions,To operate the pipe ram and the annular preventer at same time,To operate BOP functions in HPHT conditions,B,,
109,1,Topic,Accum,DS1.109,What type of gas is used to establish the precharge pressures of accumulator bottles within a BOP Closing Unit?,Hydraulic Fluid,Carbon Dioxide,Nitrogen,Water,C,,
110,1,Topic,Equip,DS1.110,"During drilling operations, the crews noted an increase in returns.  The crew spaced out, shut down and shut-in successfully.  While waiting on the pressures to stabilize, what is the next step for the Driller?",Notify the Supervisor,Check the well is secure (no leaks),Verify the choke has been closed.,Ensure pumps are completely off,B,,
111,1,Topic,Equip,DS1.111,"Of all the gauges on rig floor such as Driller's console or remote panel, which is used to record Slow Circulating Rate Pressures (SCRP)?",Drill pipe pressure gauge on the choke panel,Casing pressure gauge on the driller’s panel,Drill pipe pressure gauge on the driller’s panel,Casing pressure gauge on the choke panel,A,,
112,1,Topic,Accum,DS1.112,"On a hydraulic BOP control system (non-Mux), we apply air pressure then close the annular preventer using the rig floor remote BOP panel.  If the open light goes out and the close light illuminates, what does this light change indicate?","The manifold 3-position, 4-way valve on the accumulator unit has functioned ","The accumulator by-pass 2-position, 4-way valve on the accumulator unit has functioned ","The HCR 3-position, 4-way valve on the accumulator unit has functioned ","The annular 3-position, 4-way valve on the accumulator unit has functioned ",D,,
113,1,Topic,Equip,DS1.113,Manifold readback pressures are affected when which equipment is operated?,Annular preventer,Rams and failsafe valve ,Only HCR valve,Hydraulic choke,B,,
114,1,Topic,Equip ,DS1.114,"Operations have spaced out, shut-down and shut-in the well.  SIDPP reads 300 psi on remote choke panel.  SIDPP reads 325 psi on Driller's panel.  SIDPP reads 400 psi on Standpipe gauge.  Which gauge is used to determine Kill Mud Weight (KMW)?",Use the average pressure of 500 psi to calculate the Kill Mud Weight (KMW),"With these differences in gauge pressure, inform supervisor and investigate the difference in pressures first",Always use the gauge that shows the lowest pressure,Always use the gauge that was calibrated most recently,B,,
115,1,Topic,Equip ,DS1.115,"During shallow flow, after the overboard diverter valve(s) is opened and the diverter is closed, what other equipment action needs to take place?",Direct flow through the mud-gas separator,Increase pump rate,Maintain constant pump rate,Decrease pump rate,B,,
116,1,Topic,BHP,DS1.116,"As Kill Weight Mud (KWM) is circulated up the annulus and Final Circulation Pressure (FCP) is being held constant, what has occurred to Bottomhole Pressure (BHP)?",Stay the same,Increases,Decrease,Increases rapidly followed by decreasing slowly,A,,
117,1,Topic,Drillers,DS1.117,"For Horizontal well shut-in, the SIDPP reads the same as the SICP.  During the 1st Circulation of the Driller's Method, why does the casing pressure increase so quickly when the influx moves from the horizontal section into the vertical section?",This is normal for any well when the Driller’s Method is used.,ECD is much greater in the horizontal section,There is no loss of hydrostatic pressure until gas arrives at the inclined or vertical section of the well.,"For OBM, gas remains in solution until the gas is at the surface and breaks out of solution.",C,,
118,1,Topic,MPD,DS1.118,"If a leak were to occur in a rotary hose during a well control operation, what would be the next proper step to take?","Pick-up off bottom, shut down the pumps and close the annular preventer.",Reduce pressure on the head and continue drilling.,"Stop rotation, pick-up off bottom, close pipe rams and change out RCD insert.",Run to nearest exit,A,,
119,1,Topic,MPD,DS1.119,What are the major advantages of using Managed Pressure Drilling (MPD) when drilling a well?,MPD enables the well to be drilled within a tight window between pore pressure and fracture gradient.,MPD enables the well to be drilled faster as it aids in maximizing rate of penetration,All the above.,None of the above,C,,
120,1,Topic,Plan,DS1.120,"Why is it important to follow a pressure step down schedule when stopping the rig pumps during Well Control or connection, for a well with small gap between Pore Pressure and Fracture Gradient?",To keep bottom hole pressure constant while varying the pumps.,"As the pumps slow down, the wellbore friction is reduced.  The surface pressure needs to be increased to replace the friction loss to prevent an influx while reducing the pumps.",Both A and B,None of the above,C,,
121,1,Topic,Plan,DS1.121,Which formation characteristics affect size and speed of a kick?  ,Influx size is not affected by permeability and differential pressure,Low permeability formation with high differential pressure,Low permeability formation with a low differential pressure.,Pour throat size and viscosity of formation fluids,B,,
122,1,Topic,Plan,DS1.122,"Drillstring parted about 1,500 feet above the BHA.  With the well shut-in, we have noted SICP is rising at a rate of 50 psi every thirty minutes.  What action can we take to restore primary control of the well?",Shut well in and raise the MW.,Bullhead influx back into the formation,Stop pumping.  Control the well using Volumetric method until the influx is above the washout.  Then resume pumping operation.,"Open the well and POH.  Shut-in.  Strip back to bottom with fishing assembly, engage fish and resume 1st Circulation of Driller's Method",C,,
123,1,Topic,Plug,DS1.123,"A well was drilled with 10.7 ppg mud.  A 450-ft cement plug is set and tested.  The mud above the plug is displaced by a 11.6 ppg brine.  If the cement plug failed, what direction would the fluid move across the cement plug?",Pressure from below would cause fluid to move up,Fluid would not move across the plug as the pressure differential is zero.,Fluid would not move across the plug until its temperature has increased and allow for expansion,Pressure from above would cause fluid to move down.,D,,
124,1,Topic,SCR,DS1.124,What is the best practice for obtaining Slow Circulating Rate Pressure (SCRP)?,Obtain SCRP from only mud pumps,"Obtain SCRP from low-volume, high-pressure pump(s).",Obtain SCRP for a minimum of two mud pumps,None of the above,C,,
125,1,Topic,SCR,DS1.125,What drilling practice should be followed when connection gas is noticed?,Increase the mud viscosity.,Decrease WOB,Decrease in rotary torque,Control ROP to keep a minimum number of connection gas events in the hole at a time.,D,,
126,1,Topic,SCR,DS1.126,Which of the gauges on the Driller's Console or Remote Choke panel are normally used to record the Slow Circulating Rate Pressure (SCRP)?,The Casing gauge on the Choke Control panel.,The DP gauge on the Choke Control panel.,The standpipe pressure.,"Gauges are not used, just sensors.",B,,
127,1,Topic,SCR,DS1.127,How do we measure Slow Circulating Rate Pressure (SCRP)?,Record pressure at the mud pump gauge,With the bit inside the Casing Shoe.,With a minimum of two mud pumps,Record pressures at the Driller's console,C,,
128,1,Topic,SCR,DS1.128,What can cause inaccuracy within a Slow Pump Rate Pressure (SCRP) reading?,Rotating the drillstring slowly when taking SCR,An extended period of non-circulating time,Reciprocating the drillstring slowly while taking the SCR,Improperly calibrated gauges,B,,
129,1,Topic,SCR,DS1.129,A new Slow Circulating Rate Pressure (SCRP) should be taken after which of the following operations?,When mud weight changes,After each connection that we drill with a top drive.,Before killing the well.,Anytime a swab is changed within a pump,A,,
130,1,Topic,Sign,DS1.130,"What statement best describes ""negative"" pressure test?",A test performed on a barrier where pressure on top of a barrier is reduced to a value lower than the pressure below the barrier,A test performed on a barrier where pressure on top of a barrier is increased to a value higher than the pressure below the barrier,A test performed on a barrier where pressure on top of a barrier is equal to the pressure below the barrier,A test performed on a barrier where gas is injected downhole to test the integrity of the barrier,A,,
131,1,Topic,Trip,DS1.131,Which statement is true for a non-return valve or Internal Blowout Preventer (IBOP) while tripping?,"Extremely difficult to stab, if strong flow is encountered up the drillstring.",Must never be run in the hole during stripping operations.,"Once installed, can immediately read SIDPP.",The non-return valve has a manual closing key must be kept on the rig floor.,A,,
132,1,Topic,CP,DS1.132,"While circulating out the influx, we do not see the casing pressure or pit volume going up. What could be happening?",A liquid influx is in the well.,The casing pressure gauge needs to be fixed.,The PVT may need to be recalibrated.,A gaseous influx is in the well,A,,
133,1,Topic,Trip Tank,DS1.133,Why is it important to actively monitor the top of the well on the trip tank when killing a well?,To verify that trip tank volumes are accurate,To check and verify of leaks from the HCR valve.,To verify the TDS system is not leaking,To check of leaks across the BOP,D,,
134,1,Topic,Gas Expansion,DS1.134,"Using the 1st Circulation of the Driller's method and when the gas influx reaches the surface, what happens to the mud pit level?",Pit level would increase due to gas expansion then increase as gas exits the choke.,Pit level would remain the same as gas expansion does not occur in OBM.,Pit level would increase due to gas expansion then decrease as gas exits the choke.,None of the above,C,,
135,1,Topic,PVT ,DS1.135,Which statement best describes when the well should be monitored with flow rate and pit level equipment?,During leak off tests,Any time there is a possibility or potential for a barrier to fail.,During connections,Any time there is circulation through the mud gas separator,B,,
136,1,Topic,PVT ,DS1.136,"Operations observes flow rate increase,  drillsting is spaced out, pumps stopped.  The Driller notes a small amount of flow and small pit gain.  Pumps are restarted with returns back to normal and no addition pit gain.  What is happening?",The pump pressure is less than mud hydrostatic pressure,The pump pressure is greater than mud hydrostatic pressure,The annular pressure loss is creating an overbalance against formation pressure while circulating,The pump pressure is equal to the mud hydrostatic pressure,C,,
137,1,Topic,Barrier,DS1.137,A wellbore barrier cannot be verified by which method?,Leak off test,Using checklist for testing plug,Monitoring fluid level,BOP Pressure Test,A,,
138,1,Topic,Comp,DS1.138,Why would the Shut-in Drillpipe Pressure (SIDPP) and the Shut-in Casing Pressure (SICP) begin to rise after initial stabilization?  Why is this happening?,The mud pump might have been left on after shutting-in the well,The driller has been reciprocating the string causing the pressure to increase.,The FOSV has been left closed,The influx is gas and is migrating.,D,,
139,1,Topic,Comp,DS1.139,"During a flow check after a drilling break, the trip tank gains 3 barrels in 5 minutes. What should be done next?",Trip tank may be indicating a false gain in the pit.  Raise the MW up by 0.1 ppg and resume drilling operations.,Shut well in.,Mix 10 sacks of barite in suction pit and resume drilling operations.,See if we can increase the rate to 7 barrels in 5 minutes and shut-in on a 10 bbl kick,B,,
140,1,Topic,Comp,DS1.140,If you do not have a reduction in pit volume while drilling for the last hour while making hole what possible action should be taken?,"Continue drilling, all is good.",Make a flow check and understand why pit volume is stable.,Tell Derrickhand to slow water down going to active pits.,Tell Derrickhand in increase water going into active pits,B,,
141,1,Topic,Comp,DS1.141,How does using a slow pump rate aid in killing a well?,The pump may not be rated for excessive pressure,To prevent bursting the casing,Allows rig crews time to mix KMW on-the-fly,To allow choke operator time to react during a well kill.,D,,
142,1,Topic,Crew,DS1.142,"After kick, well was spaced out, shut down and shut-in.  The mud engineer states 3700 sacks of barite are needed for KMW.  Site has only 2800 sacks on site, next delivery 2 days.  Which kill method should we use to kill the well?",Wait and Weight Method,Volumetric Method,Lube and Bleed Method,Driller’s method,D,,
143,1,Topic,Crew,DS1.143,What is the fastest action the Driller can take to shut-in the well if it is flowing while a non-shearable tool is across the BOP stack?,Drop the string in the hole.,Make up safety valve in the string and close the annular,Start circulating to use ECD to the stop the kick,Run non-shearable tool into well and shut-in on Upper Pipe Ram.,B,,
144,1,Topic,Crew,DS1.144,Which of these practices could cause a shallow hazard to flow into the well?,Not filling the hole properly while tripping out,Pumping a cement slurry with short transition time.,Keeping the hole full with a continuous tank,"Mixing fluid density on the fly, while pumping.",A,,
145,1,Topic,Crew,DS1.145,"Operations spaced out, shut down and shut-in the well.  After stablized SIDPP and SICP, the crew noticed the SICP has begun to increase.  If the float is open, what would happen to SIDPP and SICP as the gas influx migrates?",Only the annulus pressure will increase,Only drillpipe pressure will increase,Both drillpipe and annulus pressures will decrease,Both drillpipe and annulus pressures will increase,D,,
146,1,Topic,Crew,DS1.146,"The crew has successfully spaced out, shut down and shut-in.  During the Well Control Prejob Safety Meeting (PJSM), which statement best describes Derrickhand's responsibility?",Mud weight in all pits,Pit levels and measuring devices,Monitor pressures on remote choke panel,None of the above,C,,
147,1,Topic,Crew,DS1.147,"We have successfully spaced out, shut down and shut-in on a kick. Which of the following is an important responsibility for the Supervisor to complete?",Check pit levels and line-ups,Mixing KMW,Call office and notify them of change in operations,Communicate plan with crew.,D,,
148,1,Topic,Crew,DS1.148,Which is best way to mitigate top-hole section well control problems within gas-bearing formations?,Control the rate of penetration,Maintain high ROP to finish the risky section as quickly as possible,Regularly pump light pump sweeps,Control rotary or top drive torque,A,,
149,1,Topic,Crew,DS1.149,"During well control operations, what are the most important reasons to follow good handover procedures?",To allow blame to be assigned in the event of an incident during well kill operations,Ensure continuity in operations and pass on trend information to identify potential problems,It is a regulatory form which must be completed and turned into the local regulatory agency.,None of the above,B,,
150,1,Topic,Crew,DS1.150,"After the crew has responded to a kick, spaced out, shut down and shut-in, which statement best describes delegation of responsibilites to a crew team member?",Calculate KMW needed to kill the well.,Communicating kill plan to crewmembers,"Checking for leaks at the pumps, pipework or pit areas",Lowering the mud in the active pits to allow for controlled gas expansion,C,,
151,1,Topic,WC,DS1.151,"When preparing for a tour change during a well kill operation, what are the best practices for conducting the handover?",Each tour change individual should bring a hot cup of coffee to their relief.,Ensure the supervisor knows of the tour change and make it his/her responsibility to brief relief.,Communicate to persons on duty when its time for their relief to show up,All parties involved should stay on duty for a sufficient time to allow for thorough communication of current activities.,D,,
152,1,Topic,ICP,DS1.152,We have been drilling a horizontal well and now have successfully shut-in on a kick.  We do not have records of Slow Circulating Rate Pressure (SCRP).  What processes can we use to ensure we can find the correct Initial Circulating Pressure (ICP)?,"Follow the correct start-up procedures.  Read the pressure on the drillpipe gauge, subtracting any overbalance/safety margin pressure",Use the SIDPP as circulating pressure.,Follow the ICP that was used in the previous well control operation.,"Since ICP = SIDPP + SICP, determine SICP and stage pumps up to speed holding SIDPP constant",A,,
153,1,Topic,Kill Log,DS1.153,"A written record of strokes pumped, surface drillpipe and casing pressures, choke position, active pit volume and other useful information for effective handover to a relief crew during a well kill operation is best defined as what?",Kill log,Information written in a tally book,Kill sheet,Circulating procedure to be followed,A,,
154,1,Topic,MAASP,DS1.154,If the well was full of hydrocarbons/water what term is used for the highest-pressure possible at the surface?,Kick Volume,Maximum Allowable Annular Pressure,Maximum Anticipated Surface Pressure,Maximum Allowable Casing Pressure,C,,
155,1,Topic,Concept,DS1.155,"After the first circulation of the Driller's Method, there is still influx in the annulus. What should be done to maintain constant BHP while circulating KWM to the bit?",Maintain constant casing pressure,Maintain constant drillpipe pressure,Follow a Weight and Wait step down chart or graph,None of the above,C,,
156,1,Topic,Equip,DS1.156,The Shut-in Casing Pressure (SICP) is affected by which parameter?,Slow circulating rate,Annulus capacity per foot,Internal capacity per foot,Temperature of the well,B,,
157,1,Topic,Equip,DS1.157,What action is required if the drillpipe gauge on the remote panel reads 400 psi and the drillpipe pressure gauge on the standpipe manifold reads 625 psi?,Start the kill using 400 psi because the remote choke will be used during kill operation,Start the kill using 625 psi due to lag time.,Use driller's console pressure gauges since they are electronic sensor reading and much more accurate than analog pressure gauges on the remote choke panel,Investigate the reason for the difference,D,,
158,1,Topic,Equip,DS1.158,What valve would be stabbed onto the drillstring if the well takes a kick?,Full opening safety valve,Non-return valve,Both non-return valve and full opening safety valve.,Top drive non-return valve,A,,
159,1,Topic,FormP,DS1.159,"The crew has successfully spaced out, shut down and shut-in on a kick.  After stabilization, which gauge is used to calculate the formation pressure?",The rig air gauge on the choke panel,The Casing pressure gauge on the choke panel,The Drill pipe pressure gauge on the choke panel,The choke position indicator gauge on the choke panel,C,,
160,1,Topic,FOSV,DS1.160,Describe the steps in order for a proper soft shut-in procedure used if there is positive flow check while tripping out of the hole at 5500 ft?,"Stab FOSV, Open HCR valve and choke, Close BOP, Close choke, Close safety valve.","Stab FOSV, Close BOP, Open HCR valve and choke, Close choke, Close safety valve.","Break off the Top Driver/Kelly.  Install and close IBOP, tighten and torque same.  Open HCR and close BOP, record pressures","Stab a full opening safety valve, close the safety valve, Open the HCR valve, close BOP and Close choke.",D,,
161,1,Topic,Influx,DS1.161,What could be occurring if there is no increase in pit level or casing pressure while circulating out a kick?,Pumps are failing,A gas influx is in the well,A liquid influx is in the well,BOPs are failing,C,,
162,1,Topic,Kick Size,DS1.162,"Operations has spaced out, shut down and shut-in the well. Observed 25 bbls kick with SIDPP of 300 psi and SICP of 600 psi.  If faster reactions resulted in 10 bbl kick, how would this have affected shut-in pressures? ",SIDPP is higher,SIDPP is lower,SICP is higher,SICP is lower,D,,
163,1,Topic,Migrate,DS1.163,"Without a float in the drillstring, what happens to shut-in pressures as gas migrates?",Shut-in casing pressure may be bled off to zero.,Shut-in pressures will remain constant,Both drillpipe and annulus pressures will increase,Both drillpipe and annulus pressures will decrease,C,,
164,1,Topic,Plan,DS1.164,"While tripping into the hole at 6,000 feet, a flow check indicates the well is flowing.  The current shut-in procedure calls for the soft shut-in procedure due to weak zones. What is the correct procedure to shut-in?","Stab a full opening valve, Open the HCR valve, Close BOP, Close the safety valve, Close choke.","Stab a full opening valve, close the safety valve, open the HCR valve, Close BOP, Close choke.","Stab an inside BOP, Open the HCR valve, Close BOP, Close choke.","Stab a full opening safety valve, open HCR, close the FOSV, Close choke and Close BOP.",B,,
165,1,Topic,Plan,DS1.165,Why is it important to recognize a kick as early as possible?,To allow the Volumetric method to be used,To reduce the risk of formation breakdown during the kill.,To reduce KMW required to kill the well,So that the rig crews have more time to shut-in the well.,B,,
166,1,Topic,Plan,DS1.166,"While tripping into the hole at 6,000 feet, a flow check shows there's flow. The rig's procedure is to use the soft shut-in method. What steps should be followed to shut-in the well properly?","Open HCR valve and choke, close BOP, stab full opening safety valve, close safety valve, close choke.","Stab an inside blowout preventer (open), open HCR valve, close BOP, close choke.","Stab a full opening safety valve (open), close the safety valve, open HCR valve, close BOP, close choke.",None of the above,C,,
167,1,Topic,Plan,DS1.167,What are the steps to shut-in when a well flows during tripping using a hard shut-in procedure?,"Open HCR valve and choke, close the BOP, stab open FOSV, Close choke and record pressures.","Close the BOP, stable the FOSV, Close the FOSV, open choke and record pressure.","Stab an opened FOSV, close the FOSV, Close the BOP, Open HCR valve and record pressure.","Break off the Top Driver/Kelly.  Install and close IBOP, tighten and torque same.  Open HCR and close BOP, record pressures",C,,
168,1,Topic,SICP ,DS1.168,"The crew has successfully spaced out, shut down and shut-in on a kick.  After stabilization, the Shut-in Drillpipe Pressure (SIDPP) reads 200 psi while the Shut-in Casing Pressure (SICP) reads 0 psi.  What is the probable cause of SICP reading 0 psi?",Hole packed off around the BHA,Hole in the Drillpipe,Hole in the BHA,Leak in the annular preventer,A,,
169,1,Topic,SIDPP,DS1.169,"After the crew spaces out, shuts down and shut-in, Shut-in Drillpipe Pressure (SIDPP) and Shut-in Casing Pressure (SICP) stabilization time is based upon which of the following?",Porosity,Permeability,Gas migration,Influx density,B,,
170,1,Topic,Crew ,DS1.170,"The crew has spaced out, shut down and successfully shut-in on a kick.  Which statement best describes the derrickhand's responsibility?",Check current mud density,Check current mud viscosity,Check for leaks at the pumps or surface lines,Monitor and record pressures at the choke,D,,
171,1,Topic,FormP,DS1.171,Which of the following statements does NOT describe a warning sign of increasing formation pressures downhole?,Increase in the shale density,Gradual increase in ROP,Decrease in the shale density,Increase in the connection gas,A,,
172,1,Topic,Kill Log,DS1.172,What is the most important reason for detecting a kick as soon as possible?,To reduce risk of formation breakdown during the kill operation,To prevent gas expansion as it is circulated up the wellbore,To prevent gas migration ,To prevent oil expansion as it is circulated up the wellbore,A,,
173,1,Topic,Trans,DS1.173,"What statement best describes ""abnormal pressure""?",Formation pressures that differ from the hydrostatic pressure created by a full column of fresh water,Formation pressures that differ from the hydrostatic pressure created by a full column of formation water,Formation pressures that equal normal formation pore pressure,Pressure that differs from the hydrostatic pressure caused by a full column of formation gas,B,,
174,1,Topic,Trans,DS1.174,"What drilling data is affected, as we drill a transition zone into an abnormally high-pressure formation?",Increase in WOB to maintain constant ROP,Increase in Torque,Gradual increase in RPM,Gradual increase in ROP,D,,
175,1,Topic,Sign ,DS1.175,"After circulating bottoms-up, which of the following is NOT a warning sign of increased formation pressure?",Decreasing Shale Density,Increasing Shale Density,Increasing Cuttings Volume,Increasing Mud Temperature,B,,
176,1,Topic,Ab Pres,DS1.176,How does sudden abnormal pressure impact primary well control?,Reduces the ability to use Annular Preventer as primary BOP to close in on well.,Decreases the overbalance,Allows Driller to increase tripping speed per stand.,Increases the overbalance,B,,
177,1,Topic,ROP,DS1.177,How can connection gas be limited while drilling?,Decrease the mud viscosity.,Increase the mud viscosity.,Increase mud pH,Control ROP to keep a minimum number of connection gas events in the hole at a time.,D,,
178,1,Topic,Shut-in ,DS1.178,"If a sudden increase in gas levels are noted, what is the Driller's safest next step?","Stop drilling, circulate bottoms up, monitor & record gas levels, inform your supervisor",Begin to circulate weighted sweeps periodically,Continue to monitor and record the gas level,Check for flow and call the supervisor,D,,
179,1,Topic,LOT,DS1.179,"During drilling of a wild cat exploratory well, what is the best method for determining formation strength for these wells with little or no downhole pressure information?",Equivalent Mud Weight Test (EMW),Formation Integrity Test (FIT),Leak Off Test (LOT),Casing Test,C,,
180,1,Topic,Balloon,DS1.180,"Due to ballooning and after shutting-in, Operations decides to bleed 5 bbls of mud into the trip tank, then circulate bottoms up.  What is the safest next step?",Circulate through a fully open choke with the BOP closed and monitor active pit level closely,Circulate bottoms up until you see gas at surface then shut in the well and circulate through the fully open choke choke,Circulate bottoms up at the maximum pump speed,Circulate bottoms up through the kill line,A,,
181,1,Topic,Density,DS1.181,How will oil-based mud density be affected by increasing downhole pressure?,Decreases mud density,Increases mud density,Mud density remains unchanged,Oil based muds have no density,B,,
182,1,Topic,Secure,DS1.182,"After noting an increase in flow, the crew spaced out, shut down and successfully shut-in the well.  After pressure stabilization, what is the Driller's safest next step?",Calculate the correct kill mud density,Monitor and record surface pressures,Check and verify the well is secure (no leaks),Monitor and record the pit gain,C,,
183,1,Topic,Gas,DS1.183,"During a well control circulation through a choke, what occurs as a gas influx is circulated out while keeping bottom hole pressure (BHP) constant?",The volume of gas will decrease,The volume of gas will increase,The volume of gas will stay the same,The gas will disperse into the drilling mud,B,,
184,1,Topic,Balloon,DS1.184,"Excessive flowback time during connection.  Shut-in.  SIDPP is 200 psi, SICP is 200 psi.  Operations suspects ballooning is occurring and pressures have been bled off in increments of 50 psi until they read 0 psi.  What is the next safest step?",Open the BOP and drill ahead,"Open the choke and perform a flow-check. If negative, circulate bottoms-up through the open riser",Circulate at the maximum pump rate through the mud gas separator,"Open the choke and perform a flow-check. If negative, circulate bottoms-up through the choke",D,,
185,1,Topic,SIDPP,DS1.185,Which statement best describes the main indicator that the influx is below the bit and potentially requires stripping back to bottom?,The SIDPP is greater than SICP,The SIDPP is equal to SICP,The SIDPP is lower than SICP,None of the above,B,,
186,1,Topic,BHP,DS1.186,"Operations has spaced out, shut down and shut-in on a kick.  The SIDPP is 200 psi, SICP is 300 psi. Both pressures start rising due to gas migration.  If the SIDPP is kept constant at 200 psi, what happens to BHP?",Increase,Decrease,Stay the Same,None of the above,C,,
187,1,Topic,BHP,DS1.187,"During W&W Method, KMW has been circulated to the bit and the pumps were staged down.  SIDPP is 200 psi and SICP is 600 psi.  Which of the following may result in an additional influx entering the wellbore?",Bleed off approximately 50 psi to check for trapped pressure,Bleed the SIDPP to 0 psi,Bleed off approximately 100 psi to check for trapped pressure,Re-check the calculations of surface to bit strokes and kill mud density,B,,
188,1,Topic,Strip,DS1.188,"During tripping operations, well swabbed.  Spaced out, installed and closed FOSV,  closed Annular Preventer using Hard Shut-in.  SIDPP and SICP is 175 psi.  We are currently 1,412 feet off bottom. What is the safest next step?",Circulate the kick out using the Driller’s method while 30 stands off bottom,Strip to bottom and start circulation using first circulation of Driller’s method,Use volumetric procedure until the entire influx has migrated to the bit and start   circulation using the Driller’s Method,Use Lube and Bleed Method to remove gas from the well,B,,
189,1,Topic,Strip,DS1.189,"When stripping back to bottom with a migrating kick, what is the proper procedure to be followed in order to maintain constant Bottomhole Pressure (BHP)?",Bleed off the drill pipe steel displacement while tripping each stand,Bleed off the volume of mud equal to the open-end displacement of the drill pipe tripped into the well,Bleed off the volume of mud equal to the closed end displacement of the drill pipe stripped into the well ,Do not bleed mud while stripping in with drill pipe,C,,
190,1,Topic,Kill Plan,DS1.190,Which statement best describes a kill plan?,"A document stating duties, procedures, and specific lines of communication and safety requirements for the entire kill operation ",A kill sheet completed by the supervisor,A document that all rig personnel must sign,A document stating the correct kill mud density used to kill the well,A,,
191,1,Topic,Comp,DS1.191,"If the u-tube (well) has lost integrity due to losses, how can we identify this condition?",Manipulations of the choke result in unpredictable fluctuations of the casing and drillpipe pressures.,Decrease in drillpipe pressure followed by a increase in casing pressure.,Manipulation of the choke results in a change in casing pressure and a predictable pressure response on the drillpipe pressure gauge.,None of the above,A,,
